Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2008,Tobii,MyTobii P10,1," £12,480.00 "," £12,480.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,103,,
2009,Ablenet,Big Mack,2, £84.00 , £168.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,104,,
2009,#N/A,Big Points,5,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,105,,
2009,Ablenet,FL4SH Scanning Communicator,1, £675.00 , £675.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,106,,
2009,Attainment Company Inc,Go Talk 9+,1, £104.00 , £104.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,107,,
2009,Attainment Company Inc,Go Talk 20+,1, £114.00 , £114.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,108,,
2009,Attainment Company Inc,Go Talk Express 32,1, £359.00 , £359.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,109,,
2009,Orgin Instruments,HeadMouse Exteme,1, £648.92 , £648.92 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,110,,
2009,Saltillo,Hummingbird (Scanning SA-1),1, £188.48 , £188.48 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,111,,
2009,Apple,ipod,1, £249.00 , £249.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,112,,
2009,AssistiveWare,ProLoquo2Go,1, £129.99 , £129.99 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,112.1,,
2009,Ablenet,LITTLEmack,2, £84.00 , £168.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,113,,
2009,MegaBee,MegaBee,1, £786.00 , £786.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,114,,
2009,#N/A,Nintendo DS with Tap 2 Talk,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,115,,
2009,Attainment Company Inc,Go Talk Pocket,2, £135.00 , £270.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,116,,
2009,Toby Churchill,SL40 Lightwriter,4," £3,300.00 "," £13,200.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,117,,
